,,,,,,,,,,,,,,,
organisationunitname,September 2018 Currently on ART - below 1 year,September 2018 Currently on ART - Female above 15 years,September 2018 Currently on ART - Female Below 15 years,September 2018 Currently on ART - Male above 15 years,September 2018 Currently on ART - Male below 15 years,September 2018 MOH 731   On ART_<1       HV03-028,September 2018 MOH 731   On ART_1-9       HV03-029,September 2018 MOH 731   On ART_10-14  (F)         HV03-031,September 2018 MOH 731   On ART_10-14(M)         HV03-030,September 2018 MOH 731   On ART_15-19  (F)         HV03-033,September 2018 MOH 731   On ART_15-19(M)         HV03-032,September 2018 MOH 731   On ART_20-24  (F)         HV03-035,September 2018 MOH 731   On ART_20-24(M)         HV03-034,September 2018 MOH 731   On ART_25+  (F)         HV03-037,September 2018 MOH 731   On ART_25+(M)         HV03-036
A.C.K Butonge Dispensary,,,,,,,,,,,,,,,
Ace Africa (k) Wellness Centre,,,,,,,,,,,,,,,
ACK Dr Pike Roper Medical Center,,,,,,,,,,,,,,,
Aga Khan Health Service Bungoma Centre,,,,,,,,,,,,,,,
Almer Medical Services,,,,,,,,,,,,,,,
Alphine Health Care Medical Clinic,,,,,,,,,,,,,,,
Ararat Medical Clinic,,,,,,,,,,,,,,,
Bahai Dispensary,1,53,2,8,2,,,,,,,,,,
Balcurt Medical Clinic,,,,,,,,,,,,,,,
Baptist Medical Center,,,,,,,,,,,,,,,
Baptist Medical Center(Chwele),,,,,,,,,,,,,,,
Benglad Family Care Clinic,,,,,,,,,,,,,,,
Bewa Medical clinic,,,,,,,,,,,,,,,
Bisunu Dispensary,,,,,,,,,,,,,,,
Bituyu Dispensary,,15,,1,,,,,,,,,,,
Bliss GVS Health Care Kimilili,,,,,,,,,,,,,,,
Bokoli Base Clinic,,,,,,,,,,,,,,,
Bokoli Hospital,,248,21,90,16,,,,,,,,,,
Brillian Doctors Plaza Hospital,,,,,,,,,,,,,,,
Buckner Medical Clinic,,,,,,,,,,,,,,,
Bukembe Dispensary,1,241,14,71,18,,,,,,,,,,
Bukokholo Dispensary,,9,1,3,2,,,,,,,,,,
Bulondo Dispensary,,57,7,17,3,,,,,,,,,,
Bumula Sub County Hospital,1,216,22,78,16,,,,,,,,,,
Bungoma Beyond Zero Mobile Unit,,,,,,,,,,,,,,,
Bungoma Children's Clinic,,,,,,,,,,,,,,,
Bungoma County Referral Hospital,,2143,131,783,79,,,,,,,,,,
Bungoma West Medical Services,,,,,,,,,,,,,,,
Butieli Dispensary,,,,,,,,,,,,,,,
Calvary Hope Medical Centre,,,,,,,,,,,,,,,
Carmel Dispensary,,,,,,,,,,,,,,,
Carmel Dispensary,,,,,,,,,,,,,,,
